"id","orig","uri","friendly","friendlyshow"
7,"city_uri_type_http://dbpedia.org/class/yago/PortSettlementsInTheUnitedStates","https://en.wikipedia.org/wiki/Category:Port_settlements_in_the_United_States","PortSettlementsInTheUnitedStates","Port Settlements In The United States"
43,"city_uri_type_http://dbpedia.org/class/yago/PlannedCitiesInPakistan","https://en.wikipedia.org/wiki/Category:Planned_cities_in_Pakistan","PlannedCitiesInPakistan","Planned Cities In Pakistan"
84,"city_uri_type_http://dbpedia.org/class/yago/CountySeatsInPennsylvania","https://en.wikipedia.org/wiki/Category:County_seats_in_Pennsylvania","CountySeatsInPennsylvania","County Seats In Pennsylvania"
91,"city_uri_type_http://dbpedia.org/class/yago/ProvincialCapitalsInMozambique","https://en.wikipedia.org/wiki/Category:Provincial_capitals_in_Mozambique","ProvincialCapitalsInMozambique","Provincial Capitals In Mozambique"
101,"city_uri_type_http://dbpedia.org/class/yago/NUTS3StatisticalRegionsOfTheEuropeanUnion","https://en.wikipedia.org/wiki/Category:NUTS_3_statistical_regions_of_the_European_Union","NUTS3StatisticalRegionsOfTheEuropeanUnion","NUTS3 Statistical Regions Of The European Union"
141,"city_uri_type_http://dbpedia.org/class/yago/CoastalCitiesInAustralia","https://en.wikipedia.org/wiki/Category:Coastal_cities_in_Australia","CoastalCitiesInAustralia","Coastal Cities In Australia"
143,"city_uri_type_http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheNorthSea","https://en.wikipedia.org/wiki/Category:Port_cities_and_towns_of_the_North_Sea","PortCitiesAndTownsOfTheNorthSea","Port Cities And Towns Of The North Sea"
166,"city_uri_type_http://dbpedia.org/class/yago/CitiesInSwitzerland","https://en.wikipedia.org/wiki/Category:Cities_in_Switzerland","CitiesInSwitzerland","Cities In Switzerland"
185,"city_uri_type_http://dbpedia.org/class/yago/RegionalCapitalsInSenegal","https://en.wikipedia.org/wiki/Category:Regional_capitals_in_Senegal","RegionalCapitalsInSenegal","Regional Capitals In Senegal"
198,"city_uri_type_http://dbpedia.org/class/yago/CantonalCapitalsOfSwitzerland","https://en.wikipedia.org/wiki/Category:Cantonal_capitals_of_Switzerland","CantonalCapitalsOfSwitzerland","Cantonal Capitals Of Switzerland"
210,"city_uri_type_http://dbpedia.org/class/yago/CitiesInCentralAsia","https://en.wikipedia.org/wiki/Category:Cities_in_Central_Asia","CitiesInCentralAsia","Cities In Central Asia"
225,"city_uri_type_http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe1stMillenniumBC","https://en.wikipedia.org/wiki/Category:Populated_places_established_in_the_1st_millennium_BC","PopulatedPlacesEstablishedInThe1stMillenniumBC","Populated Places Established In The 1st Millennium BC"
312,"city_uri_type_http://dbpedia.org/class/yago/CapitalsInEurope","https://en.wikipedia.org/wiki/Category:Capitals_in_Europe","CapitalsInEurope","Capitals InEurope"
354,"city_uri_type_http://dbpedia.org/class/yago/MetropolitanCitiesInIndia","https://en.wikipedia.org/wiki/Category:Metropolitan_cities_in_India","MetropolitanCitiesInIndia","Metropolitan Cities In India"
413,"city_uri_type_http://dbpedia.org/class/yago/PortCitiesInAfrica","https://en.wikipedia.org/wiki/Category:Port_cities_in_Africa","PortCitiesInAfrica","Port Cities In Africa"
423,"city_uri_type_http://dbpedia.org/class/yago/RegionsOfNiger","https://en.wikipedia.org/wiki/Category:Regions_of_Niger","RegionsOfNiger","Regions Of Niger"
432,"city_uri_type_http://dbpedia.org/class/yago/WorldHeritageSitesInSwitzerland","https://en.wikipedia.org/wiki/Category:World_Heritage_Sites_in_Switzerland","WorldHeritageSitesInSwitzerland","World Heritage Sites In Switzerland"
438,"city_uri_type_http://dbpedia.org/class/yago/CapitalDistrictsAndTerritories","https://en.wikipedia.org/wiki/Category:Capital_districts_and_territories","CapitalDistrictsAndTerritories","Capital Districts And Territories"
445,"city_uri_type_http://dbpedia.org/class/yago/MetropolitanAreasOfPakistan","https://en.wikipedia.org/wiki/Category:Metropolitan_areas_of_Pakistan","MetropolitanAreasOfPakistan","Metropolitan Areas Of Pakistan"
448,"city_uri_type_http://dbpedia.org/class/yago/CapitalsInAfrica","https://en.wikipedia.org/wiki/Category:Capitals_in_Africa","CapitalsInAfrica","Capitals In Africa"
450,"city_uri_type_http://dbpedia.org/class/yago/CapitalsOfPakistan","https://en.wikipedia.org/wiki/Category:Capitals_of_Pakistan","CapitalsOfPakistan","Capitals Of Pakistan"
454,"city_uri_type_http://dbpedia.org/class/yago/CapitalsInAsia","https://en.wikipedia.org/wiki/Category:Capitals_in_Asia","CapitalsInAsia","Capitals In Asia"
469,"city_uri_type_http://dbpedia.org/class/yago/RegionsOfMali","https://en.wikipedia.org/wiki/Category:Regions_of_Mali","RegionsOfMali","Regions Of Mali"
511,"city_uri_type_http://dbpedia.org/class/yago/VikingAgePopulatedPlaces","https://en.wikipedia.org/wiki/Category:Viking_Age_populated_places","VikingAgePopulatedPlaces","Viking Age Populated Places"
528,"city_uri_type_http://dbpedia.org/class/yago/GermanStateCapitals","https://en.wikipedia.org/wiki/Category:German_state_capitals","GermanStateCapitals","German State Capitals"
529,"city_uri_type_http://dbpedia.org/class/yago/AustralianCapitalCities","https://en.wikipedia.org/wiki/Category:Australian_capital_cities","AustralianCapitalCities","Australian Capital Cities"
532,"city_uri_type_http://dbpedia.org/class/yago/IndianCapitalCities","https://en.wikipedia.org/wiki/Category:Indian_capital_cities","IndianCapitalCities","Indian Capital Cities"
539,"city_uri_type_http://dbpedia.org/class/yago/PopulatedPlacesInGabon","https://en.wikipedia.org/wiki/Category:Populated_places_in_Gabon","PopulatedPlacesInGabon","Populated Places In Gabon"
571,"city_uri_type_http://dbpedia.org/class/yago/NUTS1StatisticalRegionsOfTheEuropeanUnion","https://en.wikipedia.org/wiki/Category:NUTS_1_statistical_regions_of_the_European_Union","NUTS1StatisticalRegionsOfTheEuropeanUnion","NUTS1 Statistical Regions Of The European Union"
572,"city_uri_type_http://dbpedia.org/class/yago/RegionalCapitalsInGhana","https://en.wikipedia.org/wiki/Category:Regional_capitals_in_Ghana","RegionalCapitalsInGhana","Regional Capitals In Ghana"
573,"city_uri_type_http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheBalticSea","https://en.wikipedia.org/wiki/Category:Port_cities_and_towns_of_the_Baltic_Sea","PortCitiesAndTownsOfTheBalticSea","Port Cities And  Towns Of The Baltic Sea"
577,"city_uri_type_http://dbpedia.org/class/yago/PopulatedCoastalPlacesInJapan","https://en.wikipedia.org/wiki/Category:Populated_coastal_places_in_Japan","PopulatedCoastalPlacesInJapan","Populated Coastal Place sIn Japan"
660,"city_uri_type_http://dbpedia.org/class/yago/PortSettlementsInJapan","https://en.wikipedia.org/wiki/Category:Port_settlements_in_Japan","PortSettlementsInJapan","Port Settlements In Japan"
